#	$Id: observatories.dat,v 2.0 2001/09/14 19:05:06 garyb Exp $	
# File with data on observatories
500    0:00:00     0:00:00    -6378137.  Geocenter
138 +352:25:41.88 +47:24:47.45  174.8 Village-Neuf
140 +356:22:14.16 +45:31:33.33  497.4 Augerolles
141 +352:37:58.08 +48:52:35.20  210.9 Hottviller
143 +350:58:33.38 +46:02:20.94  187.0 Gnosca <http://www.astroinfo.ch/aida/sposetti/>
146 +349:19:57.72 +44:05:45.66 1209.9 Frignano
147 +351:25:33.92 +45:26:41.50  219.4 Osservatorio Astronomico di Suno <http://www.apan.it/pianetini/>
148 +357:57:45.00 +43:27:07.82   65.3 Guitalens
149 +355:46:35.04 +49:03:34.83   63.4 Beine-Nauroy
151 +351:15:21.60 +47:17:03.42  487.2 Eschenberg Observatory, Winterthur <http://www.eschenberg.ch/>
152 +334:26:12.12 +55:08:08.70  142.1 Moletai Astronomical Observatory <http://www.itpa.lt/mao/aboutmao.html>
153 +350:49:31.08 +48:32:49.99  382.2 Stuttgart-Hoffeld <http://www.rolfstuber.de/obs153.html>
154 +347:53:44.52 +46:21:00.11 1718.2 Cortina
157 +347:11:17.88 +42:02:09.92  413.3 Frasso Sabino <http://www.ara.roma.it/>
158 +352:23:48.12 +45:35:35.55 1407.4 Promiod
159 +349:29:04.92 +43:48:10.66  705.5 Monte Agliale <http://www.oama.it/>
160 +349:09:30.82 +43:37:50.97    5.3 Castelmartini <http://www.webalice.it/e.prosperi/>
161 +351:50:22.20 +44:53:43.09  275.0 Cerrina Tololo Observatory
162 +344:13:10.20 +40:27:35.70  745.0 Potenza
163 +353:51:02.88 +49:21:11.04  263.0 Roeser Observatory, Luxembourg <http://www.dawson.lu/asteroidsearch.html>
164 +353:06:50.04 +48:07:27.68  287.5 St. Michel sur Meurthe
165 +358:14:40.92 +41:19:50.10  179.2 Piera Observatory, Barcelona <http://www.astrogea.org/jguarro/index.html>
166 +343:59:17.88 +50:19:04.48  363.4 Upice
167 +351:25:38.28 +47:19:42.84  476.2 Bülach Observatory <http://buelach.astronomie.ch/>
168 +300:27:10.08 +56:51:39.18  211.8 Kourovskaya
169 +351:35:54.24 +44:53:05.10  183.1 Airali Observatory
170 +358:04:45.84 +41:08:27.89 1404.8 Observatorio de Begues <http://www.manteka.com/>
171 +345:31:49.08 +35:43:38.34   60.6 Flarestar Observatory, San Gwann
172 +352:57:48.96 +46:36:05.59  682.4 Onnens
173 +304:29:38.04 -20:46:10.74  120.6 St. Clotilde, Réunion
174 +334:29:12.84 +62:11:17.20  155.2 Nyrölä Observatory, Jyväskylä <http://www.ursa.fi/sirius/nytt/nytt_info.html>
175 +352:23:30.12 +46:02:19.24 2098.4 F.-X. Bagnoud Observatory, St-Luc <http://www.ofxb.ch/>
176 +357:10:39.00 +39:27:53.00   36.3 Observatorio Astronómico de Consell <http://astrosurf.com/consell_obs/>
178 +353:51:56.16 +45:56:32.44  433.9 Collonges
179 +350:58:57.00 +45:44:08.26 1508.8 Monte Generoso
181 +304:35:24.00 -21:04:12.51  959.7 Observatoire des Makes, Saint-Louis
182 +304:44:29.04 -20:53:02.75  216.5 St. Paul, Réunion
183 +318:34:48.00 +43:27:28.49 1990.3 Starlab Observatory, Karachay-Cherkessia
184 +353:57:50.04 +43:47:20.95  642.4 Valmeca Observatory, Puimichel
185 +352:34:41.16 +47:09:40.44  407.1 Observatoire Astronomique Jurassien-Vicques <http://www.jura-observatory.ch/>
186 +293:07:04.44 +38:56:43.85  582.5 Kitab
187 +342:55:36.12 +52:05:26.61   55.4 Astronomical Observatory, Borowiec
188 +293:06:16.02 +38:29:08.97 2510.1 Majdanak
189 +353:50:54.96 +46:00:27.74  356.4 Geneva (before 1967)
190 +291:19:05.16 +38:18:10.74  662.3 Gissar
191 +291:13:08.04 +38:22:25.21  723.5 Dushanbe
192 +290:42:23.04 +41:08:03.77  412.9 Tashkent
193 +290:46:55.92 +38:04:25.92 2123.8 Sanglok
194 +341:59:26.16 -23:19:17.05 1740.4 Tivoli <http://www.tivoli-astrofarm.de/e_tivoli_astrofarm.htm>
195 +348:33:02.88 +47:59:33.23  449.7 Untermenzing Observatory, Munich
196 +352:40:00.84 +49:08:29.15  157.0 Homburg-Erbach
198 +351:14:35.74 +48:26:27.59  430.9 Wildberg <http://www.astro-wildberg.de>
200 +355:41:47.04 +50:34:17.46   16.1 Beersel Hills Observatory <http://users.skynet.be/bho/>
201 +352:23:48.12 +45:35:34.11 1361.7 Jonathan B. Postel Observatory <http://spazioinwind.libero.it/astroccd/>
203 +351:00:12.96 +45:20:59.35  101.7 GiaGa Observatory
204 +351:13:45.12 +45:40:32.20 1133.6 Schiaparelli Observatory <http://www.astrogeo.va.it/>
205 +348:43:36.84 +44:16:46.87   41.8 Obs. Casalecchio di Reno, Bologna
206 +349:25:59.88 +60:26:09.84  705.1 Haagaar Observatory, Eina
207 +350:41:36.60 +45:21:09.59   59.6 Osservatorio Antonio Grosso
208 +350:24:45.00 +44:45:24.91   44.5 Rivalta
209 +348:25:52.32 +45:39:26.39 1328.7 Asiago Observatory, Cima Ekar-ADAS
210 +283:02:33.72 +42:59:46.76 1376.3 Alma-Ata
212 +04:38:33.11 +36:28:09.12  189.8 Observatorio La Dehesilla
213 +357:36:52.60 +41:19:43.64   28.6 Observatorio Montcabre <http://astrosurf.com/cometas/>
214 +348:20:35.16 +48:03:55.26  407.9 Garching Observatory
215 +349:16:01.92 +47:49:33.18  530.3 Buchloe <http://www.astronomie-buchloe.de/>
216 +354:18:30.96 +48:48:39.39  194.8 Observatoire des Côte de Meuse
217 +282:07:43.90 +43:02:00.92 2586.9 Assah
218 +281:32:45.24 +17:19:19.78  507.0 Hyderabad
219 +281:16:18.12 +16:59:25.76  656.4 Japal-Rangapur
220 +281:10:25.32 +12:29:41.10  693.6 Vainu Bappu Observatory, Kavalur <http://www.iiap.res.in/centers/vbo>
221 +343:38:12.84 -23:06:07.09 1826.5 IAS Observatory, Hakos <http://www.ias-observatory.org/content/view/18/92/>
223 +279:45:12.96 +12:59:04.13   17.4 Madras
224 +352:29:53.84 +47:35:35.48  150.1 Ottmarsheim <http://www.astrosurf.org/rinner/>
225 +71:10:30.00 +43:02:08.50   66.0 Northwood Ridge Observatory <http://www.regulusastro.com/regulus/observatory/index.html>
227 +78:42:52.92 +42:26:48.06  398.4 OrbitJet Observatory, Colden <http://www.orbitjetobservatory.com/>
228 +346:07:30.00 +45:27:00.16  352.1 Bruno Zugna Observatory, Trieste
229 +345:01:32.52 +40:30:02.40  266.2 G. C. Gloriosi Astronomical Observatory, Salerno
230 +347:59:12.12 +47:30:44.88 1860.0 Mt. Wendelstein Observatory <http://www.wendelstein-observatorium.de:8002/wst/wst_en.html>
231 +354:36:06.12 +49:48:56.48  392.7 Vesqueville
232 +358:40:05.88 +41:19:03.45  266.9 Masquefa Observatory <http://personal.telefonica.terra.es/web/obsmasquefa/>
236 +275:03:12.60 +56:17:26.95   75.5 Tomsk
237 +357:16:00.12 +46:53:29.67  329.5 Baugy
238 +349:05:26.16 +59:46:55.40   85.1 Grorudalen Optical Observatory
239 +351:35:18.96 +49:44:08.50   28.1 Trebur <http://monet.fh-friedberg.de/users/jomo/t1t.htm>
240 +351:10:00.59 +48:25:57.51  466.9 Herrenberg Sternwarte <http://www.sternwarte-herrenberg.de/>
241 +346:31:48.00 +48:15:08.61  359.7 Schaerding <http://www.gierlinger.cc/>
242 +358:18:15.84 +43:17:13.23  210.5 Varennes
246 +345:42:42.84 +48:40:21.22  991.0 Kleť Observatory-KLENOT <http://www.klet.org/>
251 +66:45:11.09 +18:13:43.67  478.9 Arecibo <http://www.naic.edu/~pradar/pradar.htm>
252 +116:47:41.57 +35:03:57.78 1008.7 Goldstone DSS 13, Fort Irwin <http://gssr.jpl.nasa.gov/>
253 +116:53:22.31 +35:14:39.72  948.4 Goldstone DSS 14, Fort Irwin <http://gssr.jpl.nasa.gov/>
254 +71:29:19.39 +42:25:53.37   84.5 Haystack, Westford
256 +79:50:23.39 +38:14:45.19  759.0 Green Bank <http://www.gb.nrao.edu/gbt/>
257 +116:52:31.40 +35:09:22.39  894.4 Goldstone DSS 25, Fort Irwin
